timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778599265.5319548,-56917.06322634974,-70063.35348646087,20374.531492535054,-28543.200021171575,-32608.78117189183,-19893.49960011239,6392.285989795446,-13227.360037250524,0.5
1778599265.5319598,-54382.73303302921,-69863.84181545279,20423.41475765881,-28554.711169566057,-33030.044499641,-19469.88933919541,6274.268779071424,-15642.62248785764,0.5
1778599265.5319643,-51870.285197530415,-69801.30163446684,20075.979241845518,-29026.75766071769,-33971.87995575428,-19220.846202474382,6102.249753743381,-16205.707634175735,0.5
1778599265.5319693,-52641.33097426069,-69936.37322621027,19829.663017948034,-29305.685079775463,-34172.50921398511,-19445.101254594476,6103.63556189961,-14647.858100874198,0.5
1778599265.531974,-55704.14581348251,-70098.42337351125,19998.865723474708,-29044.03555918164,-33361.00677979073,-19865.090532909697,6275.945159905572,-12987.011729122607,0.5
1778599265.5319788,-56930.69779046748,-70052.7364078446,20392.479943332666,-28566.825815060834,-32583.657811124067,-19899.199294948496,6410.0332748929595,-13611.474765714976,0.5
1778599265.5319834,-54400.81559429355,-69847.21211757805,20453.701371395753,-28558.46626263455,-32985.29630724148,-19475.47727530924,6302.722549763031,-15351.84864423855,0.5
1778599265.531988,-51893.62041874175,-69792.62915761818,20102.622521236244,-29012.139619843918,-33930.66333897869,-19227.52937406652,6129.652992445587,-15787.774716350403,0.5
1778599265.531993,-52619.24745073885,-69931.03115928546,19844.951611155466,-29304.343975108146,-34153.599638175925,-19443.98366737171,6112.218631770448,-14753.53714865889,0.5
1778599265.531998,-55669.522961321236,-70089.81795189595,20011.49445909196,-29047.768300505675,-33347.528677884184,-19863.280041608818,6292.306636846857,-12945.638650135834,0.5
1778599265.5320024,-56925.48983400939,-70050.74710258808,20398.671376546787,-28557.08045447832,-32566.82694754922,-19902.574408361248,6428.182891390668,-13138.914184440873,0.5
1778599265.5320075,-54450.88350187344,-69849.80491993486,20458.506996453645,-28548.810309029857,-32965.85028956536,-19484.686194024827,6320.469834860544,-15291.141306297935,0.5
1778599265.532012,-51891.832279185335,-69788.89641629416,20111.45146029609,-29021.706166470787,-33919.93450164014,-19225.003626943068,6133.519844236355,-16217.911686648333,0.5
1778599265.5320168,-52572.62171180508,-69919.43060391315,19856.865090950145,-29313.865818246108,-34147.34114972844,-19436.093501578987,6134.570376225755,-14628.590897153725,0.5
1778599265.532146,-55614.18004204989,-70082.75480064808,20014.109613193228,-29058.698303544323,-33353.496593653756,-19857.267422350338,6301.716721262542,-12858.109218848851,0.5
1778599265.5321524,-56897.50544995135,-70041.78405306149,20403.432298115767,-28581.33209721233,-32572.459587151956,-19897.500562369893,6438.285879884467,-13438.628725842087,0.5
1778599265.5321572,-54414.71837934475,-69837.9361436291,20470.085200081492,-28572.994896530497,-32962.31871394142,-19473.37621133044,6326.549509352388,-15604.065728672234,0.5
1778599265.5321622,-51844.625394895724,-69770.99266898545,20125.153079647192,-29050.875192984964,-33916.84996090531,-19211.57022852543,6150.015431644372,-16490.13358236952,0.5
